"id","label","x","y"
50509,"Tiliaventum (river)",45.64,13.1
50537,"Corcyra",39.59,19.92
50534,"Aulon",40.51,19.42
50531,"Automalax",30.25,19.13
50520,"Salapia",41.39,16.02
50527,"Kallipolis-Anxa",40.06,17.99
50530,"Hydruntum",40.15,18.49
50540,"Zacynthus",37.78,20.9
50533,"Acroceraunia Pr.",40.44,19.32
50542,"Alpheos (river)",37.61,21.45
50521,"Heracleum Pr.",37.93,16.06
50541,"Ichthys Pr.",37.65,21.32
50524,"Lacinium Pr.",39.03,17.2
50150,"Thebai",25.702,32.652
50529,"Sallentinum Pr.",39.8,18.36
50535,"Apollonia (Epirus)",40.77,19.43
50528,"Epidaurum",42.58,18.22
50557,"Sounion Pr.",37.65,24.03
50549,"Corinthus",37.91,22.88
50558,"Kaudos",34.86,24.06
50555,"Chalcis",38.46,23.59
50190,"Heliopolis (Baalbek)",34.015,36.203
50551,"Chersonesos Akra",32.61,23.12
50545,"Apollonia-Sozousa",32.93,21.75
50562,"Geraistos",37.98,24.55
50548,"Gythion",36.76,22.57
50569,"Hephaistia",39.92,25.14
50556,"Kimaros Pr.",35.63,23.6
50567,"Kardamis",31.92,25.04
50554,"Kriou Metopon Pr.",35.27,23.58
50552,"Malea Pr.",36.44,23.2
50544,"Patrae",38.26,21.74
50559,"Athos Mons",40.26,24.22
50769,"x",,
50577,"Chersonasos",35.32,25.39
50590,"Sigeion",40.01,26.2
50573,"Delos",37.4,25.27
50229,"Legio VII",42.606,-5.57
50582,"Kadiston Mons",35.34,25.77
50621,"Olbia (Borysthenes)",46.6919,31.9016
50718,"Amphipolis",,
50627,"Chersonesos",44.6116,33.4933
50612,"Cyzicus",40.3813,27.8923
50611,"Apollonia Pontica",42.4172,27.6965
50625,"Amathous",34.71,33.13
50614,"Caunus",36.83,28.63
50602,"Potidaion",35.51,27.21
50610,"Bargylia",37.19,27.59
50604,"Kos",36.89,27.29
50606,"Cnidus",36.69,27.37
50603,"Myndos",37.08,27.24
50631,"Corycus",36.46,34.15
50624,"Anemurium",36.02,32.8
50608,"Halicarnassus",37.04,27.43
50599,"Parium",40.4205,27.0691
50598,"Trogilion Pr.",37.67,27.02
50622,"Akamas Pr.",35.11,32.28
50632,"Cinolis",41.9634,34.1637
50626,"Karambis Pr.",42.0136,33.3697
50617,"Mouth of Pontus",41.2123,29.1239
50623,"Kalos Limen",45.5209,32.7033
50651,"Dioscurias",42.9933,41.0031
